,Unnamed: 0,stn,year,mo,da,temp,max,min
221,221,702190,1945,10,27,36.1,39.4,33.4
222,222,702190,1945,1,28,35.8,39.4,26.4
223,223,702190,1945,1,29,34.7,41.4,30.4
224,224,702190,1945,2,16,34.0,36.3,31.3
225,225,702190,1945,2,23,34.2,37.4,29.3
226,226,702190,1945,2,24,34.3,36.3,30.4
227,227,702190,1945,2,26,35.9,41.4,30.4
228,228,702190,1945,2,28,33.6,36.3,32.4
229,229,702190,1945,3,3,36.7,39.4,33.4
230,230,702190,1945,4,12,33.5,37.4,30.4
231,231,702190,1945,5,15,40.6,48.4,34.3
232,232,702190,1945,5,20,46.0,54.3,39.4
233,233,702190,1945,5,23,41.4,47.3,36.3
234,234,702190,1945,5,27,49.7,59.4,45.3
235,235,702190,1945,5,28,50.3,59.4,44.4
236,236,702190,1945,5,31,41.3,48.4,36.3
237,237,702190,1945,6,4,50.8,57.4,43.3
238,238,702190,1945,6,5,53.2,62.4,45.3
239,239,702190,1945,6,8,55.1,63.3,46.4
240,240,702190,1945,6,9,55.1,65.3,39.4
241,241,702190,1945,6,10,57.0,67.3,47.3
242,242,702190,1945,6,11,52.7,62.4,45.3
243,243,702190,1945,6,12,49.9,61.3,39.4
244,244,702190,1945,6,14,46.0,50.4,42.4
245,245,702190,1945,6,18,56.6,64.4,47.3
246,246,702190,1945,6,19,54.6,62.4,51.3
247,247,702190,1945,6,21,47.6,53.4,44.4
248,248,702190,1945,6,22,52.3,64.4,44.4
249,249,702190,1945,7,5,61.3,69.3,51.3
250,250,702190,1945,7,6,59.7,68.4,54.3
251,251,702190,1945,7,7,60.7,70.3,53.4
252,252,702190,1945,7,9,63.6,74.3,53.4
253,253,702190,1945,7,10,64.6,76.3,56.3
254,254,702190,1945,7,11,63.1,75.4,56.3
255,255,702190,1945,7,12,57.4,63.3,53.4
256,256,702190,1945,7,15,57.2,67.3,51.3
257,257,702190,1945,7,16,51.9,58.3,48.4
258,258,702190,1945,7,24,50.7,55.4,48.4
259,259,702190,1945,8,3,64.3,72.3,58.3
260,260,702190,1945,8,4,64.6,73.4,59.4
261,261,702190,1945,8,8,48.5,59.4,41.4
262,262,702190,1945,8,9,47.8,52.3,45.3
263,263,702190,1945,8,10,51.0,58.3,42.4
264,264,702190,1945,8,11,51.8,55.4,46.4
265,265,702190,1945,8,12,52.1,55.4,49.3
266,266,702190,1945,8,13,48.6,53.4,43.3
267,267,702190,1945,8,14,48.9,52.3,46.4
