date,wban,stn,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,flag_max,min,flag_min,prcp,flag_prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,usaf,name,country,state,call,lat,lon,elev,begin,end,point_gis,fake_date
1950-01-01,99999,308430,1950,01,01,-18.7,6,-26.2,6,1027.8,6,9999.9,0,9.3,6,4.3,6,12.0,999.9,-6,*,-27,*,0,I,999.9,0,0,0,0,0,0,308430,MOGZON,RS,,,51.733,112,+0907.0,19480102,20020127,POINT(112 51.733),2000-01-01
1950-01-01,24128,999999,1950,01,01,34.9,19,17.6,19,1013.6,19,863.1,19,39.8,19,6.8,19,24.1,999.9,48.9,*,16,*,0,I,999.9,0,0,0,0,0,0,999999,WINNEMUCCA MUNICIPAL ARPT,US,NV,KWMC,40.902,-117.808,+1314.9,19490915,19721231,POINT(-117.808 40.902),2000-01-01
1950-01-01,99999,296050,1950,01,01,-10.5,4,9999.9,0,1023.2,4,9999.9,0,3.4,4,5.5,4,8.0,999.9,-6,,-24,,0.02,E,999.9,0,0,0,0,0,0,296050,TATARSK,RS,,,55.2,76.019,+0112.0,19480101,20190831,POINT(76.019 55.2),2000-01-01
1950-01-01,99999,262420,1950,01,01,4.5,4,9999.9,0,1027.9,4,9999.9,0,999.9,0,2.0,4,4.1,999.9,9,*,1,*,0,I,999.9,0,0,0,0,0,0,262420,TARTU,EN,,EETU,58.307,26.69,+0066.8,19480101,20190831,POINT(26.69 58.307),2000-01-01
1950-01-01,99999,299560,1950,01,01,-12,4,-17,4,1028.3,4,9999.9,0,999.9,0,0.0,4,999.9,999.9,-2,*,-27,*,0,I,999.9,0,0,0,0,0,0,299560,TASTYP,RS,,,52.8,89.917,+0455.0,19480101,20190831,POINT(89.917 52.8),2000-01-01
1950-01-01,99999,297560,1950,01,01,-26.5,4,-29.7,4,1029.4,4,9999.9,0,999.9,0,0.5,4,1.9,999.9,-17,,-31,*,0,I,999.9,0,0,0,0,0,0,297560,SIRA,RS,,,54.5,89.933,+0475.0,19460101,20180216,POINT(89.933 54.5),2000-01-01
1950-01-01,99999,294980,1950,01,01,-17.2,5,9999.9,0,1025.6,5,9999.9,0,999.9,0,0.0,5,999.9,999.9,-13,*,-20,*,99.99,,999.9,0,0,1,0,0,0,294980,SITKINO,RS,,,56.35,98.367,+0221.0,19480102,20070227,POINT(98.367 56.35),2000-01-01
1950-01-01,99999,040650,1950,01,01,39,4,9999.9,0,9999.9,0,9999.9,0,4.8,4,19.7,4,23.9,999.9,9999.9,,9999.9,,99.99,,999.9,1,1,0,0,0,0,040650,GRIMSEY ISLAND,IC,,BIGR,66.533,-18.017,+0016.0,19130101,20190809,POINT(-18.017 66.533),2000-01-01
1950-01-01,99999,372350,1950,01,01,28.2,5,21,5,1011.2,4,9999.9,0,6.5,5,8.0,4,15.9,999.9,36,*,21,,99.99,,999.9,0,1,0,0,0,0,372350,GROZNYJ,RS,,,43.25,45.717,+0163.0,19480101,20190819,POINT(45.717 43.25),2000-01-01
1950-01-01,99999,318230,1950,01,01,1.7,6,9999.9,0,1008.8,6,9999.9,0,12.4,5,4.7,6,8.0,999.9,9,*,-9,*,0,I,999.9,0,0,0,0,0,0,318230,GROSSEVICHI,RS,,,47.967,139.533,+0003.0,19480101,20010910,POINT(139.533 47.967),2000-01-01
1950-01-01,14834,999999,1950,01,01,44.9,24,44.6,24,1024.1,24,1002.1,24,1,24,8.1,24,11.1,999.9,48,*,43,*,99.99,,999.9,1,1,0,0,0,0,999999,JOLIET,US,IL,KJOT,41.5,-88.167,+0177.1,19460101,19530315,POINT(-88.167 41.5),2000-01-01
1950-01-01,13973,999999,1950,01,01,60.8,24,57.8,24,1021.8,24,961.5,24,10.2,24,3.1,24,10.1,999.9,68,*,57,*,99.99,,999.9,1,1,0,0,0,0,999999,JUNCTION,US,TX,KJCT,30.511,-99.766,+0533.1,19480701,19690131,POINT(-99.766 30.511),2000-01-01
1950-01-01,99999,749103,1950,01,01,21.8,17,17.9,17,1030.6,17,1030.5,17,14.3,17,6.2,17,13.0,999.9,30.4,*,16.3,*,99.99,,999.9,0,0,1,0,0,0,749103,CAMPBELLTON CENTER,CA,,,48,-66.683,+0005.0,19500101,19590101,POINT(-66.683 48),2000-01-01
1950-01-01,14607,999999,1950,01,01,20.5,24,12.3,24,1031.4,24,1006.8,24,20.1,24,5.4,24,10.1,999.9,28,*,14,*,99.99,,999.9,0,0,1,0,0,0,999999,CARIBOU MUNICIPAL ARPT,US,ME,KCAR,46.871,-68.017,+0190.2,19480101,19721231,POINT(-68.017 46.871),2000-01-01
1950-01-01,24016,999999,1950,01,01,36.6,24,20.8,24,1013.6,24,834.1,24,59.7,24,19.4,24,30.1,999.9,45,*,28,*,0,I,999.9,0,0,0,0,0,0,999999,CASPER,US,WY,,42.917,-106.333,+1613.0,19480101,19500308,POINT(-106.333 42.917),2000-01-01
1950-01-01,14859,999999,1950,01,01,32.1,23,31.7,23,9999.9,0,992.4,23,2.4,23,7.8,23,14.0,999.9,36,*,27,*,99.99,,999.9,1,1,0,0,0,0,999999,GRAND MARAIS 2 E             ,US,MI,,46.667,-85.95,+0190.2,19481201,19550101,POINT(-85.95 46.667),2000-01-01
1950-01-01,14830,999999,1950,01,01,42,24,41.2,24,1025,24,999,24,1.4,24,6.5,24,10.1,999.9,45,*,39.9,*,99.99,,999.9,1,1,0,0,0,0,999999,GRAND RAPIDS,US,MI,,42.9,-85.667,+0213.1,19450101,19631201,POINT(-85.667 42.9),2000-01-01
1950-01-01,99999,040630,1950,01,01,37,4,34.2,4,1000.1,4,9999.9,0,23.6,4,1.5,4,1.9,999.9,43,*,32,*,0.04,E,999.9,0,0,0,0,0,0,040630,AKUREYRI,IC,,BIAR,65.66,-18.073,+0001.8,19310103,20190831,POINT(-18.073 65.66),2000-01-01
1950-01-01,99999,352290,1950,01,01,5.8,4,3.5,4,1009.6,4,9999.9,0,0.9,4,16.9,4,27.0,999.9,21,*,-4,*,0.43,E,999.9,0,0,1,0,0,0,352290,AKTYUBINSK,KZ,,UATT,50.246,57.207,+0224.9,19320101,20190831,POINT(57.207 50.246),2000-01-01
1950-01-01,23203,724810,1950,01,01,40.5,24,36,24,1019.1,24,1012.7,24,1.3,24,1.3,24,5.1,999.9,48,*,39,*,0,I,999.9,1,0,0,0,0,0,724810,CASTLE AFB,US,CA,KMER,37.383,-120.567,+0058.2,19420101,20190831,POINT(-120.567 37.383),2000-01-01
1950-01-01,21601,999999,1950,01,01,76.9,24,71.8,24,1008.4,24,1008.1,24,11.9,24,9.9,24,15.0,999.9,82,*,75,*,0,I,999.9,0,0,0,0,0,0,999999,JOHNSTON ISLAND,PN,,,16.733,-169.517,+0004.9,19490101,19581019,POINT(-169.517 16.733),2000-01-01
1950-01-01,99999,782240,1950,01,01,72.3,24,64.2,24,1020.3,24,9999.9,0,9.3,24,10.8,24,25.1,999.9,79,*,66,*,99.99,,999.9,0,1,0,0,0,0,782240,JOSE MARTI INTL,CU,,MUHA,22.989,-82.409,+0064.0,19390101,20190831,POINT(-82.409 22.989),2000-01-01
1950-01-01,13987,999999,1950,01,01,53.4,24,51.5,24,1023.3,24,987.5,24,4.6,24,7.6,24,12.0,999.9,57,*,51.1,*,0,I,999.9,1,0,0,0,0,0,999999,JOPLIN MUNICIPAL AP,US,MO,KJLN,37.147,-94.502,+0300.2,19480101,19550101,POINT(-94.502 37.147),2000-01-01
1950-01-01,25309,999999,1950,01,01,-8.2,24,-20.2,24,1037.8,24,1037,23,21.1,24,5.3,24,17.1,999.9,3,*,-17,*,0,I,999.9,0,0,0,0,0,0,999999,JUNEAU MUNICIPAL ARPT,US,AK,PAJN,58.357,-134.564,+0007.3,19480701,19721231,POINT(-134.564 58.357),2000-01-01
1950-01-01,21603,912750,1950,01,01,77.2,24,72.1,24,1008.4,24,1008.1,24,11.9,24,9.8,24,15.0,999.9,83.3,,73.4,,0,G,999.9,0,0,0,0,0,0,912750,JOHNSTON ATOLL AIRPORT,JQ,UM,PJON,16.733,-169.517,+0003.1,19450401,20041231,POINT(-169.517 16.733),2000-01-01
1950-01-01,99999,718070,1950,01,01,26.6,24,20.6,24,1022.2,24,1020.2,24,11,24,19.3,24,28.0,999.9,29.3,*,22.5,*,0,I,999.9,0,0,0,0,0,0,718070,ARGENTIA (AUT)               ,CA,,CWAR,47.3,-53.983,+0019.0,19450301,20170803,POINT(-53.983 47.3),2000-01-01
1950-01-01,99999,040300,1950,01,01,37.5,4,36.5,4,994.9,4,9999.9,0,8.4,4,12.2,4,15.0,999.9,39,,36,,99.99,,999.9,0,1,0,0,0,0,040300,REYKJAVIK,IC,,BIRK,64.13,-21.941,+0014.6,19310101,20190831,POINT(-21.941 64.13),2000-01-01
1950-01-01,99999,719031,1950,01,01,0.8,7,0.1,7,1014.1,7,9999.9,0,9.5,7,15.8,7,21.0,999.9,7,*,-7.1,*,0.02,G,999.9,0,0,0,0,0,0,719031,RESOLUTION ISLAND,CA,,,61.583,-64.65,+0366.0,19340801,19630731,POINT(-64.65 61.583),2000-01-01
1950-01-01,99999,719240,1950,01,01,-42.5,8,-45.7,5,1029.4,8,9999.9,0,10.5,8,2.2,8,4.1,999.9,-29.9,,-47,,0,I,999.9,1,0,0,0,0,0,719240,RESOLUTE BAY,CA,,CYRB,74.717,-94.969,+0065.5,19471011,20190831,POINT(-94.969 74.717),2000-01-01
